Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching,skin_rash,,dischromic _patches,,,,,,,,,,,,,
Fungal infection,skin_rash,,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,,,,,,,,,,,,,,
Fungal infection,skin_rash,,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,dischromic _patches,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
GERD,stomach_pain,,,vomiting,cough,chest_pain,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,vomiting,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,vomiting,cough,,,,,,,,,,,,
GERD,,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,cough,chest_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,spotting_ urination,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,cough,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,cough,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,high_fever,breathlessness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,indigestion,headache,,,stiff_neck,,,,,,,,,,,,
Migraine,,headache,,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,,,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
